,frame_seq,m1,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,e1,e2,e3,b1,b2,b3
1932,1932,30.59411708155671,150.88074761214565,18.439088914585774,29.120439557122072,43.965895873961216,48.703182647543684,22.847319317591726,100.68763578513501,71.56814934033156,54.0,74.0,23.0,27.5,48.5,25.5,16.5,16.492422502470642,15.652475842498529,14.5,24.0,84.0,71.47027354082255
1933,1933,35.510561809129406,148.66068747318505,21.37755832643195,31.32091952673165,43.01162633521314,47.43416490252569,21.02379604162864,108.66922287382016,77.3692445355388,57.5,77.0,27.0,33.0,53.0,28.0,19.0,16.492422502470642,16.1245154965971,14.5,23.0,83.0,70.51950084905593
1934,1934,23.769728648009426,138.23530663329106,23.345235059857504,37.8549864614954,37.94733192202055,43.32435804486894,24.698178070456937,109.38464243210744,71.56814934033156,57.5,81.0,34.0,34.5,48.5,16.5,17.5,17.72004514666935,16.55294535724685,15.0,25.0,87.0,71.16881339463234
1935,1935,5.0990195135927845,129.0271289303145,25.317977802344327,33.734255586866,32.89376840679705,36.40054944640259,26.248809496813376,87.36131867136622,53.75872022286245,50.5,75.0,33.0,29.0,30.0,2.0,11.0,17.72004514666935,16.15549442140351,15.0,24.0,85.0,67.35725647619564
1936,1936,5.0990195135927845,129.0968628588627,24.331050121192877,28.160255680657446,33.83784863137726,35.84689665786984,29.410882339705484,84.11896337925236,55.97320787662612,52.5,77.0,32.0,26.5,25.5,2.5,9.5,18.681541692269406,17.08800749063506,16.5,24.0,86.0,66.40783086353596
1937,1937,5.385164807134504,128.51459061133875,23.53720459187964,32.01562118716424,32.89376840679705,36.76955262170047,29.120439557122072,87.93179174792243,55.97320787662612,52.0,78.0,32.0,27.0,29.0,3.0,10.0,19.6468827043885,17.46424919657298,16.5,25.0,87.0,68.62215385719105
1938,1938,15.231546211727817,133.5440002396214,22.360679774997898,32.984845004941285,35.11409973215888,38.62641583165593,26.40075756488817,96.46242791885346,63.56886030125127,53.0,79.0,32.0,31.5,36.5,10.5,16.5,18.027756377319946,16.55294535724685,15.5,23.0,85.0,68.30812543175226
1939,1939,37.48332962798263,138.9280389266328,19.4164878389476,33.95585369269929,39.84971769034255,45.5411901469428,24.698178070456937,114.28473213863697,80.36168241145776,58.5,81.0,32.0,35.5,53.5,25.5,22.5,16.76305461424021,14.317821063276353,14.0,25.0,86.0,69.26037828369117
1940,1940,41.593268686170845,143.024473430249,19.4164878389476,31.78049716414141,42.05948168962618,47.43416490252569,21.633307652783937,113.05308487608819,81.32035415564789,57.5,77.0,27.0,34.0,57.0,30.0,22.0,16.492422502470642,15.231546211727817,15.0,24.0,86.0,68.62215385719105
1941,1941,35.35533905932738,140.80127840328723,19.4164878389476,33.95585369269929,41.10960958218893,45.5411901469428,20.0,107.00467279516349,73.08214556237385,52.5,73.0,24.0,32.5,54.5,25.5,20.5,16.76305461424021,15.652475842498529,14.5,24.0,85.0,71.47027354082255
1942,1942,32.38826948140329,140.73023839957068,19.4164878389476,34.713109915419565,39.56008088970496,44.27188724235731,19.209372712298546,103.84603988597736,69.26037828369117,50.0,69.0,23.0,31.0,54.0,24.0,18.0,16.76305461424021,14.7648230602334,14.0,25.0,86.0,70.83784299369935
1943,1943,35.510561809129406,141.39660533407442,18.439088914585774,33.734255586866,40.52159917870962,44.27188724235731,19.4164878389476,105.77334257741882,72.12489168102785,51.5,69.0,21.0,29.0,57.0,28.0,17.0,15.524174696260024,14.7648230602334,14.0,24.0,86.0,72.11102550927978
1944,1944,45.39823785126467,143.2515270424717,17.46424919657298,31.78049716414141,39.56008088970496,45.221676218380054,20.248456731316587,113.50770898930169,81.74350127074322,56.5,70.0,25.0,30.5,62.5,34.5,19.5,16.492422502470642,14.7648230602334,14.0,24.0,86.0,71.47027354082255
1945,1945,48.373546489791295,144.83784035948617,17.46424919657298,32.55764119219941,41.48493702538308,46.84015371452148,20.248456731316587,117.15374513859982,84.64632301523794,58.0,72.0,25.0,31.5,65.5,35.5,21.5,16.492422502470642,14.317821063276353,14.0,26.0,87.0,70.51950084905593
1946,1946,50.24937810560445,144.22205101855957,17.46424919657298,30.805843601498726,40.52159917870962,45.5411901469428,21.633307652783937,118.35962149314267,87.55569655939013,60.0,74.0,26.0,32.0,65.0,38.0,22.0,16.492422502470642,14.317821063276353,14.0,25.0,84.0,68.30812543175226
1947,1947,45.39823785126467,142.6218777046495,16.278820596099706,30.805843601498726,39.56008088970496,44.27188724235731,22.47220505424423,113.50770898930169,82.71033792700887,57.5,72.0,26.0,30.0,61.0,35.0,20.0,15.524174696260024,14.7648230602334,14.0,25.0,84.0,69.57010852370435
1948,1948,40.311288741492746,142.9475428260311,15.524174696260024,30.083217912982647,38.897300677553446,43.657759905886145,22.360679774997898,107.44766167767449,77.3692445355388,55.0,71.0,24.0,27.5,56.5,31.5,19.5,16.76305461424021,16.55294535724685,15.5,23.0,82.0,70.51950084905593
1949,1949,33.54101966249684,147.38385257551113,16.492422502470642,30.083217912982647,41.10960958218893,45.5411901469428,22.47220505424423,102.35721762533407,72.27724399837061,53.5,70.0,21.0,24.5,53.5,28.5,16.5,17.46424919657298,16.55294535724685,15.5,23.0,81.0,72.73238618387272
1950,1950,33.54101966249684,148.32734070291963,15.524174696260024,29.120439557122072,42.05948168962618,46.8187996428785,21.93171219946131,99.72462083156798,70.60453243241541,51.5,68.0,19.0,23.5,52.5,28.5,15.5,16.492422502470642,15.231546211727817,14.5,24.0,82.0,69.26037828369117
1951,1951,30.59411708155671,148.66068747318505,15.524174696260024,31.04834939252005,42.05948168962618,45.5411901469428,22.47220505424423,99.45853407325085,68.41052550594829,51.0,68.0,18.0,22.0,53.0,28.0,15.0,16.76305461424021,15.652475842498529,15.0,23.0,82.0,73.68174807915459
1952,1952,30.805843601498726,149.60280746028798,15.524174696260024,28.861739379323623,42.05948168962618,45.880278987817846,22.47220505424423,97.52948272189288,68.6804193347711,51.0,67.0,17.0,21.0,52.0,29.0,14.0,17.46424919657298,16.15549442140351,15.0,25.0,83.0,70.51950084905593
1953,1953,32.7566787083184,153.70751445521458,15.524174696260024,28.861739379323623,42.05948168962618,46.8187996428785,22.47220505424423,99.45853407325085,70.60453243241541,52.0,67.0,16.0,20.5,54.5,31.5,13.5,17.46424919657298,16.55294535724685,15.0,26.0,84.0,71.78439941937245
1954,1954,32.55764119219941,155.92626462530293,14.560219778561036,29.120439557122072,44.27188724235731,48.104053883222775,23.769728648009426,99.72462083156798,70.60453243241541,52.0,67.0,15.0,19.0,55.0,32.0,14.0,16.492422502470642,16.55294535724685,15.0,23.0,82.0,71.78439941937245
1955,1955,33.734255586866,154.65122049308243,14.560219778561036,30.083217912982647,43.32435804486894,48.104053883222775,22.47220505424423,100.68763578513501,70.60453243241541,51.5,67.0,16.0,20.5,55.5,32.5,14.5,16.492422502470642,15.652475842498529,14.5,24.0,82.0,73.68174807915459
1956,1956,35.6931365951495,154.983870128475,15.524174696260024,28.160255680657446,44.27188724235731,47.75981574503821,21.540659228538015,100.68763578513501,72.53275122315436,52.5,67.0,15.0,21.0,56.0,34.0,14.0,16.76305461424021,16.55294535724685,15.0,23.0,81.0,70.83784299369935
